date,station_id,surface_ha,rainfall_mm,temp_max_c,water_deficit_mm
2010-09-06,cordoba_capital,140000,0.0,35.2,0.0
2010-09-06,ecija,42000,0.0,35.4,0.0
2010-09-06,granada_capital,55000,0.0,32.4,0.0
2010-09-06,jaen_capital,165000,0.0,33.7,0.0
2010-09-06,linares,45000,0.0,34.4,0.0
2010-09-06,lucena,88000,0.0,32.3,0.0
2010-09-06,martos,68000,0.0,33.0,0.0
2010-09-06,sevilla_capital,75000,0.0,35.2,0.0
2010-09-06,ubeda,98000,0.0,31.9,0.0
2010-09-13,antequera,35000,0.0,33.0,0.0
2010-09-13,baeza,72000,0.0,32.3,0.0
2010-09-13,baza,28000,0.0,32.2,0.0
2010-09-13,cabra,52000,0.0,35.4,0.0
2010-09-13,cordoba_capital,140000,0.0,37.8,0.0
2010-09-13,ecija,42000,0.0,37.8,0.0
2010-09-13,granada_capital,55000,0.0,34.2,0.0
2010-09-13,jaen_capital,165000,0.0,34.2,0.0
2010-09-13,linares,45000,0.0,35.1,0.0
2010-09-13,lucena,88000,0.0,35.0,0.0
2010-09-13,martos,68000,0.0,33.8,0.0
2010-09-13,sevilla_capital,75000,0.0,38.0,0.0
2010-09-13,ubeda,98000,0.0,32.6,0.0
2010-09-20,antequera,35000,0.0,25.1,0.0
2010-09-20,baeza,72000,0.0,25.3,0.0
2010-09-20,baza,28000,0.0,26.3,0.0
2010-09-20,cabra,52000,0.0,27.0,0.0
2010-09-20,cordoba_capital,140000,0.0,29.3,0.0
2010-09-20,ecija,42000,0.0,30.6,0.0
2010-09-20,granada_capital,55000,0.0,25.7,0.0
2010-09-20,jaen_capital,165000,0.0,27.6,0.0
2010-09-20,linares,45000,0.0,28.0,0.0
2010-09-20,lucena,88000,0.0,26.1,0.0
2010-09-20,martos,68000,0.0,26.5,0.0
2010-09-20,sevilla_capital,75000,0.0,30.5,0.0
2010-09-20,ubeda,98000,0.0,25.7,0.0
2010-09-27,antequera,35000,0.0,28.0,0.0
2010-09-27,baeza,72000,0.0,25.4,0.0
2010-09-27,baza,28000,0.0,28.3,0.0
2010-09-27,cabra,52000,0.0,28.7,0.0
2010-09-27,cordoba_capital,140000,0.0,30.1,0.0
